96
0	1036	1	0	0
262144	263142	1	1	1
524288	524786	1	2	2
786432	787542	1	3	3
1048576	1049535	1	4	4
1310720	1311689	1	5	5
1572864	1573647	1	6	6
1835008	1836944	1	7	7
2097152	2097971	1	8	8
2359296	2360408	1	9	9
2621440	2622443	1	10	10
2883584	2884202	1	11	11
3145728	3146454	1	12	12
3407872	3408120	1	13	13
3670016	3670526	1	14	14
3932160	3934129	1	15	15
4194304	4195409	1	16	16
4456448	4457561	1	17	17
4718592	4720591	1	18	18
4980736	4981730	1	19	19
5242880	5243985	1	20	20
5505024	5505739	1	21	21
5767168	5767887	1	22	22
6029312	6030412	1	23	23
6291456	6292454	1	24	24
6553600	6554598	1	25	25
6815744	6816878	1	26	26
7077888	7078385	1	27	27
7340032	7340999	1	28	28
7602176	7602425	1	29	29
7864320	7865318	1	30	30
8126464	8126711	1	31	31
8388608	8389607	1	32	32
8650752	8651863	1	33	33
8912896	8913396	1	34	34
9175040	9175537	1	35	35
9437184	9438295	1	36	36
9699328	9700326	1	37	37
9961472	9962091	1	38	38
10223616	10224728	1	39	39
10485760	10486377	1	40	40
10747904	10748482	1	41	41
11010048	11010545	1	42	42
11272192	11273190	1	43	43
11534336	11534953	1	44	44
11796480	11796729	1	45	45
12058624	12059592	1	46	46
12320768	12321387	1	47	47
12582912	12583420	1	48	48
12845056	12846054	1	49	49
13107200	13108169	1	50	50
13369344	13370163	1	51	51
13631488	13632485	1	52	52
13893632	13894731	1	53	53
14155776	14156274	1	54	54
14417920	14419002	1	55	55
14680064	14680561	1	56	56
14942208	14943325	1	57	57
15204352	15205675	1	58	58
15466496	15468494	1	59	59
15728640	15729636	1	60	60
15990784	15991295	1	61	61
16252928	16253897	1	62	62
16515072	16516183	1	63	63
16777216	16778032	1	64	64
17039360	17041328	1	65	65
17301504	17302615	1	66	66
17563648	17564159	1	67	67
17825792	17826789	1	68	68
18087936	18089032	1	69	69
18350080	18351188	1	70	70
18612224	18613260	1	71	71
18874368	18875114	1	72	72
19136512	19136760	1	73	73
19398656	19399666	1	74	74
19660800	19661312	1	75	75
19922944	19923940	1	76	76
20185088	20185557	1	77	77
20447232	20447990	1	78	78
20709376	20709888	1	79	79
20971520	20972535	1	80	80
21233664	21234662	1	81	81
21495808	21496277	1	82	82
21757952	21758670	1	83	83
22020096	22020608	1	84	84
22282240	22282709	1	85	85
22544384	22545378	1	86	86
22806528	22807525	1	87	87
23068672	23069390	1	88	88
23330816	23331314	1	89	89
23592960	23593478	1	90	90
23855104	23856102	1	91	91
24117248	24118095	1	92	92
24379392	24380390	1	93	93
24641536	24642534	1	94	94
24903680	24904160	1	95	95
